Year,CompanyID,DiversityMeasure
2021,Apple,1.0
2022,Apple,2.556038601690775
2023,Apple,1.6329931618554523
2023,General Motors,1.414213562373095
2024,General Motors,2.3348689263480735
2008,L'Oreal,1.414213562373095
2009,L'Oreal,1.414213562373095
2010,L'Oreal,1.8766297265136727
2011,L'Oreal,1.0
2012,L'Oreal,2.2677868380553634
2013,L'Oreal,2.1213203435596424
2014,L'Oreal,2.333333333333333
2015,L'Oreal,2.948839123097943
2016,L'Oreal,2.496150883013531
2017,L'Oreal,2.32379000772445
2018,L'Oreal,3.4299717028501764
2019,L'Oreal,2.46885359939347
2020,L'Oreal,2.743977362280141
2021,L'Oreal,2.818181818181818
2022,L'Oreal,2.940588176458821
2021,Microsoft,0.0
2022,Microsoft,2.7138411414599277
2023,Microsoft,3.2084447395987397
2008,Roche Holding AG,0.0
2010,Roche Holding AG,0.0
2011,Roche Holding AG,0.0
2012,Roche Holding AG,0.0
2013,Roche Holding AG,1.414213562373095
2014,Roche Holding AG,0.0
2015,Roche Holding AG,0.0
2016,Roche Holding AG,1.414213562373095
2017,Roche Holding AG,1.414213562373095
2018,Roche Holding AG,1.6329931618554523
2019,Roche Holding AG,1.414213562373095
2020,Roche Holding AG,2.1105794120443453
2021,Roche Holding AG,2.5342103744997617
2011,Samsung Electronics,0.0
2012,Samsung Electronics,0.0
2013,Samsung Electronics,1.0
2014,Samsung Electronics,0.0
2015,Samsung Electronics,1.414213562373095
2016,Samsung Electronics,1.6329931618554523
2017,Samsung Electronics,1.7320508075688776
2018,Samsung Electronics,1.6329931618554523
2019,Samsung Electronics,0.0
2020,Samsung Electronics,1.414213562373095
2021,Samsung Electronics,2.1908902300206643
2023,Samsung Electronics,2.3094010767585034
2024,Samsung Electronics,2.2132114866740062
2008,SAP,1.889822365046136
2009,SAP,1.414213562373095
2010,SAP,2.667891875399663
2011,SAP,1.7320508075688776
2012,SAP,2.3237900077244493
2013,SAP,2.7136021011998728
2014,SAP,2.4659848095803594
2015,SAP,2.984810028978545
2016,SAP,3.1426968052735447
2017,SAP,3.277152121491656
2018,SAP,2.754068908790281
2019,SAP,3.30794575733494
2020,SAP,2.6446507489075444
2021,SAP,3.1912126823260136
2022,SAP,2.952099865692432
2023,SAP,0.0
2024,SAP,0.0
2022,Shell,2.0
2023,Shell,2.182820625326997
2009,Volkswagen,0.0
2010,Volkswagen,0.0
2011,Volkswagen,0.0
2012,Volkswagen,0.0
2013,Volkswagen,0.0
2014,Volkswagen,1.414213562373095
2015,Volkswagen,2.0
2016,Volkswagen,1.414213562373095
2017,Volkswagen,2.23606797749979
2018,Volkswagen,0.0
2019,Volkswagen,1.414213562373095
2020,Volkswagen,1.0
2021,Volkswagen,1.0
2022,Volkswagen,2.1213203435596424
2023,Volkswagen,1.414213562373095
2013,Volvo Car,1.0
2014,Volvo Car,0.0
2015,Volvo Car,0.0
2016,Volvo Car,1.2649110640673518
2017,Volvo Car,1.0
2018,Volvo Car,1.3416407864998738
2019,Volvo Car,1.0
2020,Volvo Car,2.1213203435596424
2021,Volvo Car,1.8257418583505536
2022,Volvo Car,2.23606797749979
2023,Volvo Car,2.121320343559643
2024,Volvo Car,1.8898223650461359
